iter	Passed	Remaining
612	1267	800
613	1270	798
614	1272	796
615	1274	794
616	1276	792
617	1277	789
618	1280	788
619	1283	786
620	1285	784
621	1286	781
622	1287	779
623	1289	776
624	1290	774
625	1292	772
626	1296	771
627	1299	769
628	1300	767
629	1301	764
630	1304	763
631	1306	760
632	1307	758
633	1308	755
634	1310	753
635	1313	751
636	1315	749
637	1316	747
638	1317	744
639	1319	742
640	1320	739
641	1322	737
642	1323	734
643	1325	732
644	1328	731
645	1330	728
646	1331	726
647	1333	724
648	1334	721
649	1336	719
650	1337	717
651	1341	715
652	1343	714
653	1345	711
654	1348	710
655	1349	707
656	1351	705
657	1352	703
658	1355	701
659	1358	699
660	1360	697
661	1363	696
662	1365	694
663	1367	692
664	1372	691
665	1376	690
666	1378	688
667	1379	685
668	1381	683
669	1382	680
670	1383	678
671	1385	676
672	1389	674
673	1390	672
674	1392	670
675	1393	668
676	1395	665
677	1396	663
678	1398	661
679	1400	659
680	1402	657
681	1404	654
682	1405	652
683	1407	650
684	1408	647
685	1410	645
686	1411	643
687	1413	640
688	1414	638
689	1417	636
690	1418	634
691	1419	631
692	1421	629
693	1422	627
694	1423	624
695	1425	622
696	1426	620
697	1428	618
698	1430	616
699	1434	614
700	1435	612
701	1436	609
702	1438	607
703	1440	605
704	1441	603
705	1445	601
706	1447	599
707	1449	597
708	1451	595
709	1452	593
710	1454	591
711	1455	588
712	1457	586
713	1459	584
714	1462	582
715	1465	581
716	1466	579
717	1468	576
718	1469	574
719	1471	572
720	1472	569
721	1474	567
722	1476	565
723	1478	563
724	1480	561
725	1481	559
726	1483	557
727	1485	554
728	1486	552
729	1488	550
730	1490	548
731	1492	546
732	1494	544
733	1495	542
734	1497	539
735	1499	537
736	1501	535
737	1502	533
738	1506	532
739	1508	530
740	1510	527
741	1511	525
742	1512	523
743	1515	521
744	1516	519
745	1519	517
746	1522	515
747	1524	513
748	1525	511
749	1526	508
750	1528	506
751	1529	504
752	1531	502
753	1532	500
754	1534	498
755	1536	496
756	1538	493
757	1540	491
758	1541	489
759	1543	487
760	1545	485
761	1546	483
762	1548	480
763	1549	478
764	1551	476
765	1553	474
766	1556	472
767	1557	470
768	1559	468
769	1560	466
770	1562	463
771	1564	462
772	1566	460
773	1569	458
774	1570	455
775	1572	453
776	1573	451
777	1574	449
778	1576	447
779	1577	444
780	1580	443
781	1582	441
782	1583	438
783	1585	436
784	1586	434
785	1587	432
786	1588	430
787	1590	427
788	1592	425
789	1594	423
790	1596	421
791	1598	419
792	1599	417
793	1600	415
794	1602	413
795	1603	410
796	1605	408
797	1606	406
798	1608	404
799	1609	402
800	1611	400
801	1612	398
802	1613	395
803	1615	393
804	1616	391
805	1618	389
806	1619	387
807	1620	385
808	1622	382
809	1623	380
810	1625	378
811	1628	376
812	1629	374
813	1631	372
814	1633	370
815	1634	368
816	1636	366
817	1637	364
818	1640	362
819	1643	360
820	1644	358
821	1646	356
822	1648	354
823	1649	352
824	1651	350
825	1652	348
826	1654	346
827	1657	344
828	1659	342
829	1660	340
830	1662	338
831	1663	335
832	1664	333
833	1666	331
834	1668	329
835	1670	327
836	1672	325
837	1674	323
838	1676	321
839	1677	319
840	1679	317
841	1680	315
842	1682	313
843	1683	311
844	1686	309
845	1689	307
846	1690	305
847	1692	303
848	1693	301
849	1695	299
850	1696	297
851	1698	295
852	1702	293
853	1704	291
854	1706	289
855	1707	287
856	1708	285
857	1710	283
858	1711	281
859	1714	279
860	1717	277
861	1719	275
862	1721	273
863	1723	271
864	1724	269
865	1725	267
866	1727	264
867	1728	262
868	1730	260
869	1733	258
870	1735	256
871	1736	254
872	1737	252
873	1739	250
874	1741	248
875	1742	246
876	1743	244
877	1745	242
878	1748	240
879	1750	238
880	1751	236
881	1753	234
882	1754	232
883	1755	230
884	1757	228
885	1758	226
886	1760	224
887	1762	222
888	1764	220
889	1766	218
890	1767	216
891	1768	214
892	1770	212
893	1771	210
894	1773	208
895	1774	206
896	1777	204
897	1778	201
898	1779	199
899	1780	197
900	1781	195
901	1782	193
902	1784	191
903	1785	189
904	1786	187
905	1787	185
906	1789	183
907	1791	181
908	1792	179
909	1794	177
910	1795	175
911	1796	173
912	1797	171
913	1798	169
914	1799	167
915	1801	165
916	1802	163
917	1803	161
918	1805	159
919	1807	157
920	1808	155
921	1810	153
922	1811	151
923	1812	149
924	1814	147
925	1815	145
926	1817	143
927	1818	141
928	1821	139
929	1822	137
930	1823	135
931	1825	133
932	1826	131
933	1828	129
934	1829	127
935	1830	125
936	1832	123
937	1833	121
938	1836	119
939	1838	117
940	1839	115
941	1840	113
942	1842	111
943	1843	109
944	1845	107
945	1847	105
946	1848	103
947	1852	101
948	1854	99
949	1855	97
950	1857	95
951	1858	93
952	1859	91
953	1861	89
954	1863	87
955	1864	85
956	1867	83
957	1868	81
958	1870	79
959	1871	77
960	1873	76
961	1874	74
962	1875	72
963	1877	70
964	1878	68
965	1880	66
966	1882	64
967	1884	62
968	1885	60
969	1886	58
970	1888	56
971	1889	54
972	1891	52
973	1892	50
974	1893	48
975	1895	46
976	1898	44
977	1899	42
978	1900	40
979	1902	38
980	1903	36
981	1905	34
982	1906	32
983	1907	31
984	1909	29
985	1912	27
986	1914	25
987	1915	23
988	1916	21
989	1917	19
990	1918	17
991	1920	15
992	1921	13
993	1922	11
994	1924	9
995	1926	7
996	1928	5
997	1929	3
998	1931	1
999	1932	0
